medicamento;grupo;via_normalizada;dosis_min_mg_kg;dosis_max_mg_kg;dosis_fija_mg;frecuencia_min_horas;frecuencia_max_horas;dosis_max_mg_kg_dia;dosis_max_absoluta_mg_dia;es_neonatal;texto_original_dosis;texto_original_maximo;requiere_revision_manual;comentario_normalizacion
Paracetamol (acetaminofén);Analgésicos/antipiréticos;VO/IV/RECTAL;10.0;15.0;;4.0;6.0;75.0;4000.0;True;10-15 mg/kg/dosis cada 4-6 h;No exceder 60-75 mg/kg/día ni 4 g/día;False;
Ibuprofeno;Analgésicos/antipiréticos;VO;5.0;10.0;;6.0;8.0;40.0;;False;5-10 mg/kg/dosis cada 6-8 h;Máx 40 mg/kg/día;False;
Ketorolaco;Analgésicos/antipiréticos;IV/IM/VO;0.5;0.5;;6.0;6.0;;;True;0.5 mg/kg/dosis IV/IM cada 6 h;"Máx 30 mg/dosis; no >5 días";False;
Metamizol/dipirona;Analgésicos/antipiréticos;VO/IV/IM;10.0;15.0;;6.0;8.0;;;False;10-15 mg/kg/dosis cada 6-8 h;Variable por país;True;No se pudo extraer límite máximo numérico.
Morfina;Analgésicos/antipiréticos;IV/VO/SC;0.05;0.1;;2.0;4.0;;;True;"0.05-0.1 mg/kg/dosis IV cada 2-4 h; VO según esquema";Titulación según efecto;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Fentanilo;Analgésicos/antipiréticos;IV/IN/TRANSDÉRMICO;;;;;;;;True;"1-2 mcg/kg/dosis IV; infusión según UCI";Titulación según efecto;True;No se encontró patrón claro de mg/kg en dosis. | No se encontró patrón claro de frecuencia (cada X h). | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Amoxicilina;Antibióticos;VO;25.0;50.0;;8.0;12.0;;4000.0;True;"25-50 mg/kg/día dividido cada 8-12 h; alta dosis 80-90 mg/kg/día según indicación";Máx habitual 3-4 g/día según indicación;True;Texto condicional o múltiples esquemas detectados.
Amoxicilina/ácido clavulánico;Antibióticos;VO/IV;25.0;45.0;;12.0;12.0;;;True;"25-45 mg/kg/día de amoxicilina cada 12 h; alta dosis según formulación";Máx según componente amoxicilina/clavulanato;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Ampicilina;Antibióticos;IV/IM/VO;50.0;50.0;;6.0;6.0;;;True;"50 mg/kg/dosis IV cada 6 h en niños; según foco";Depende de indicación;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Penicilina G cristalina;Antibióticos;IV/IM;;;;4.0;6.0;;;True;50,000 UI/kg/dosis cada 4-6 h según infección;Según indicación;True;No se encontró patrón claro de mg/kg en dosis. | No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Cefalexina;Antibióticos;VO;25.0;50.0;;6.0;8.0;;4000.0;True;"25-50 mg/kg/día dividido cada 6-8 h; grave hasta 100 mg/kg/día";Máx 4 g/día;True;Texto condicional o múltiples esquemas detectados.
Cefazolina;Antibióticos;IV;25.0;50.0;;8.0;8.0;;;True;"25-50 mg/kg/dosis IV cada 8 h; profilaxis 30 mg/kg preop";"Máx 2 g/dosis habitual; profilaxis hasta 2 g";True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Cefotaxima;Antibióticos;IV/IM;50.0;50.0;;6.0;8.0;;;True;"50 mg/kg/dosis IV cada 6-8 h; meningitis puede requerir más";Máx 2 g/dosis usual;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Ceftriaxona;Antibióticos;IV/IM;50.0;75.0;;24.0;24.0;;2000.0;False;"50-75 mg/kg/día cada 24 h; meningitis 100 mg/kg/día";"Máx 2 g/día usual; meningitis 4 g/día";True;Texto condicional o múltiples esquemas detectados.
Ceftazidima;Antibióticos;IV/IM;50.0;50.0;;8.0;8.0;;;True;50 mg/kg/dosis IV cada 8 h;Máx 2 g/dosis;True;No se pudo extraer límite máximo numérico.
Cefepime;Antibióticos;IV;50.0;50.0;;8.0;12.0;;;True;50 mg/kg/dosis IV cada 8-12 h;Máx 2 g/dosis;True;No se pudo extraer límite máximo numérico.
Gentamicina;Antibióticos;IV/IM;5.0;7.5;;24.0;24.0;;;True;"5-7.5 mg/kg/dosis IV/IM cada 24 h en muchos esquemas pediátricos; otros según niveles";Según niveles y función renal;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Amikacina;Antibióticos;IV/IM;15.0;22.5;;24.0;24.0;;;True;15-22.5 mg/kg/dosis IV/IM cada 24 h según esquema;Según niveles;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Vancomicina;Antibióticos;IV/VO(C.DIFFICILE);15.0;15.0;;6.0;6.0;;;True;"15 mg/kg/dosis IV cada 6 h en niños; individualizar por AUC/niveles";Según niveles/AUC;True;No se pudo extraer límite máximo numérico. | Texto condicional o múltiples esquemas detectados.
Clindamicina;Antibióticos;VO/IV;10.0;10.0;;6.0;8.0;40.0;2700.0;True;10 mg/kg/dosis cada 6-8 h;Máx 40 mg/kg/día o 2.7 g/día según indicación;False;
