Grupo;Medicamento;Indicación principal;Dosis pediátrica usual;Dosis neonatal;Dosis máxima / límite;Vía;Recomendaciones;Ajuste renal/hepático;Monitorización;Fuente / URL
Analgésicos/antipiréticos;Paracetamol (acetaminofén);Fiebre, dolor leve-moderado;10–15 mg/kg/dosis cada 4–6 h;Usar intervalos más prolongados según edad gestacional/posnatal;No exceder 60–75 mg/kg/día ni 4 g/día;VO/IV/rectal;Evitar duplicidad con combinados antigripales. En hepatopatía o desnutrición usar dosis conservadora.;Hepático: precaución/evitar en insuficiencia grave.;Temperatura, dolor, dosis diaria acumulada, transaminasas si sobredosis.;https://www.rch.org.au/clinicalguide/guideline_index/Analgesia_and_sedation/
Analgésicos/antipiréticos;Ibuprofeno;Fiebre, dolor inflamatorio;5–10 mg/kg/dosis cada 6–8 h;No recomendado en neonatos salvo indicación especializada;Máx 40 mg/kg/día;VO;Evitar en deshidratación, shock, sangrado digestivo, varicela complicada o ERC.;"Renal: evitar o ajustar; hepático: precaución.";Dolor/fiebre, hidratación, creatinina, sangrado GI.;https://www.rch.org.au/clinicalguide/guideline_index/Analgesia_and_sedation/
Analgésicos/antipiréticos;Ketorolaco;Dolor moderado-severo de corta duración;0.5 mg/kg/dosis IV/IM cada 6 h;No uso rutinario neonatal;"Máx 30 mg/dosis; no >5 días";IV/IM/VO;No asociar con otros AINE. Riesgo renal y sangrado.;"Renal: evitar en insuficiencia; hepático: precaución.";Creatinina, sangrado, dolor.;https://bnf.nice.org.uk/
Analgésicos/antipiréticos;Metamizol/dipirona;Fiebre/dolor cuando está permitido por norma local;10–15 mg/kg/dosis cada 6–8 h;Evitar en neonatos salvo protocolo local;Variable por país;VO/IV/IM;Uso depende de regulación local. Vigilar agranulocitosis y anafilaxia.;Hepático/renal: precaución.;Hemograma si uso prolongado, PA si IV.;https://www.who.int/publications/i/item/9789241547659
Analgésicos/antipiréticos;Morfina;Dolor severo, analgesia hospitalaria;"0.05–0.1 mg/kg/dosis IV cada 2–4 h; VO según esquema";"Dosis menores e intervalos mayores; individualizar";Titulación según efecto;IV/VO/SC;Mayor riesgo de depresión respiratoria en lactantes/neonatos. Tener naloxona disponible.;Renal/hepático: reducir y espaciar.;FR, SatO2, sedación, dolor, PA, tránsito intestinal.;https://www.rch.org.au/clinicalguide/guideline_index/Analgesia_and_sedation/
Analgésicos/antipiréticos;Fentanilo;Analgesia intensa/procedimientos/intubación;"1–2 mcg/kg/dosis IV; infusión según UCI";"0.5–2 mcg/kg/dosis; infusión con vigilancia";Titulación según efecto;IV/IN/transdérmico;Inicio rápido. Riesgo de rigidez torácica con bolos rápidos.;"Hepático: precaución; renal menos afectado.";FR, SatO2, sedación, PA, necesidad ventilatoria.;https://www.rch.org.au/clinicalguide/guideline_index/Analgesia_and_sedation/
Antibióticos;Amoxicilina;OMA, neumonía, faringitis estreptocócica;"25–50 mg/kg/día dividido cada 8–12 h; alta dosis 80–90 mg/kg/día según indicación";No primera línea neonatal habitual;Máx habitual 3–4 g/día según indicación;VO;Elegir dosis según foco y resistencia local. Confirmar alergia a beta-lactámicos.;Renal: ajustar si insuficiencia significativa.;Respuesta clínica, diarrea, rash.;https://medicalguidelines.msf.org/
Antibióticos;Amoxicilina/ácido clavulánico;OMA, sinusitis, mordeduras, infecciones respiratorias seleccionadas;"25–45 mg/kg/día de amoxicilina cada 12 h; alta dosis según formulación";No uso neonatal rutinario;Máx según componente amoxicilina/clavulanato;VO/IV;Calcular por componente amoxicilina. Evitar exceso de clavulanato por diarrea.;"Renal: ajustar; hepático: precaución por colestasis.";Diarrea, función hepática si prolongado.;https://medicalguidelines.msf.org/
Antibióticos;Ampicilina;Sepsis neonatal, Listeria, enterococo, infecciones sensibles;"50 mg/kg/dosis IV cada 6 h en niños; según foco";"Según EG/EPN: intervalos 8–12 h o más; individualizar";Depende de indicación;IV/IM/VO;Pilar con gentamicina en sepsis neonatal precoz.;Renal: ajustar.;Clínica, cultivos, función renal si asociado a aminoglucósido.;https://www.who.int/publications/i/item/978-92-4-154837-3
Antibióticos;Penicilina G cristalina;Sífilis congénita, meningitis/neumonía por sensibles;50,000 UI/kg/dosis cada 4–6 h según infección;50,000 UI/kg/dosis con intervalo según edad;Según indicación;IV/IM;Usar esquema específico según diagnóstico.;Renal: ajustar en insuficiencia grave.;Clínica, cultivos, electrolitos si dosis altas.;https://www.who.int/publications/i/item/978-92-4-154837-3
